service_id,cost
0,0.4315
1,0.7575
2,0.577
3,0.5454
4,0.5053
5,0.4829
6,0.4645
7,0.6405
8,0.536
9,0.5229
10,0.4632
11,0.7892
12,0.4837
13,0.4443
14,0.3689
15,0.4575
16,0.452
17,0.4746
18,0.4943
19,0.5205
20,0.5542
21,0.4612
22,0.519
23,0.5252
24,0.5039
25,0.5995
26,0.517
27,0.5427
28,0.4965
29,0.502
30,0.5466
31,0.4516
32,0.4933
33,0.7483
34,0.6621
35,0.6057
36,0.4767
37,0.458
38,0.5195
39,0.4948
40,0.3664
41,0.3198
42,0.2674
43,0.6428
44,0.4788
45,0.5655
46,0.5233
47,0.5422
48,0.4919
49,0.5023
50,0.8365
51,0.5811
52,0.6687
53,0.6359
54,0.5174
55,0.7001
56,0.4754
57,0.5121
58,0.4704
59,0.5147
60,0.4992
61,0.4785
62,0.5814
63,0.4775
64,0.4956
65,0.5034
66,0.2568
67,0.5181
68,0.4864
69,0.8859
70,0.5542
71,0.4839
72,0.1856
73,0.5628
74,0.5224
75,0.54
76,0.5437
77,0.4224
78,0.4944
79,0.4723
80,0.5896
81,0.5028
82,0.4599
83,0.4637
84,0.4769
85,0.5077
86,0.5353
87,0.5683
88,0.6679
89,0.5463
90,0.5026
91,0.5986
92,0.4137
93,0.3962
94,0.4451
95,0.4006
96,0.4922
97,0.4138
98,0.3828
99,0.4728
100,0.4671
101,0.1527
102,0.1272
103,0.5197
104,0.6807
105,0.5055
106,0.5003
107,0.5826
108,0.4992
109,0.5132
110,0.5423
111,0.5256
112,0.6984
113,0.5973
114,0.5239
115,0.4987
116,0.5521
117,0.4851
118,0.6454
119,0.5374
120,0.1883
121,0.5863
122,0.4786
123,0.5224
124,0.5314
125,0.515
126,0.6246
127,0.6461
128,0.5137
129,0.4644
130,0.5047
131,0.5018
132,0.4625
133,0.1652
134,0.7541
135,0.1626
136,0.5255
137,0.5482
138,0.4994
139,0.8762
140,0.7141
141,0.4944
142,0.5475
143,0.5266
144,0.5037
145,0.4829
146,0.5588
147,0.5461
148,0.4734
149,0.5026
150,0.6582
151,0.112
152,0.4961
153,0.5124
154,0.9331
155,0.503
156,0.5383
157,0.4782
158,0.5134
159,0.4666
160,0.4978
161,0.5314
162,0.5428
163,0.5203
164,0.5181
165,0.6319
166,0.5176
167,0.442
168,0.5027
169,0.5508
170,0.5882
171,0.4187
172,0.5273
173,0.4751
174,0.5183
175,0.4418
176,0.5273
177,0.4542
178,0.6543
179,0.4446
180,0.5042
181,0.4371
182,0.6393
183,0.6322
184,0.4306
185,0.5192
186,0.5982
187,0.4852
188,0.4763
189,0.452
190,0.4603
191,0.623
192,0.6303
193,0.5234
194,0.4583
195,0.4492
196,0.5395
197,0.6184
198,0.2606
199,0.5439
200,0.5197
201,0.0949
202,0.4644
203,0.6361
204,0.5137
205,0.4156
206,0.4631
207,0.524
208,0.4611
209,0.4408
210,0.5217
211,0.5844
212,0.5758
213,0.4912
214,0.5828
215,0.4483
216,0.4973
217,0.5796
218,0.3157
219,0.4648
220,0.4473
221,0.455
222,0.4318
223,0.4743
224,0.4753
225,0.1438
226,0.8041
227,0.4972
228,0.6309
229,0.539
230,0.5906
231,0.5281
232,0.5477
233,0.1419
234,0.487
235,0.5819
236,0.5249
237,0.1092
238,0.5423
239,0.52
240,0.7512
241,0.3641
242,0.6738
243,0.5393
244,0.5133
245,0.7256
246,0.5438
247,0.8412
248,0.821
249,0.6439
250,0.5285
251,0.5394
252,0.6442
253,0.5353
254,0.1016
255,0.5285
256,0.7445
257,0.5856
258,0.5613
259,0.5237
260,0.5677
261,0.9667
262,0.527
263,0.5563
264,0.663
265,0.5956
266,0.5881
267,0.5886
268,0.5427
269,0.5369
270,0.6249
271,0.6227
272,0.6614
273,0.2718
274,0.529
275,0.5511
276,0.6177
277,0.1353
278,0.5567
279,0.617
280,0.6771
281,0.5385
282,0.5418
283,0.5263
284,0.5651
285,0.5197
286,0.5524
287,0.5596
288,0.538
289,0.5664
290,0.5205
291,0.5198
292,0.6299
293,0.0949
294,0.492
295,0.5609
296,0.6133
297,0.5328
298,0.574
299,0.0726
300,0.4951
301,0.5619
302,0.5622
303,0.5729
304,0.5958
305,0.9021
306,0.5554
307,0.536
308,0.6175
309,0.5357
310,0.5525
311,0.521
312,0.519
313,0.8272
314,0.6376
315,0.5867
316,0.5435
317,0.0663
318,0.08
319,0.0956
320,0.1263
321,0.1646
322,0.3383
323,0.3896
324,0.6862
325,0.183
326,0.4382
327,0.4869
328,0.474
329,0.4705
330,0.4895
331,0.5639
332,0.4906
