alpha,beta,mean_qos_score,mean_cost,mean_utility
0.0,1.0,0.45609735862343714,0.04343999922275543,-0.03377778083086014
0.1,0.9,0.46335198956604906,0.043922241425531805,0.015496798203076761
0.2,0.8,0.4687120588304019,0.04485572276741354,0.06557617088158925
0.3,0.7,0.47853212564040776,0.04829702101054445,0.1164809420572973
0.4,0.6,0.5022421824721108,0.06131448382429317,0.16979718880843273
0.5,0.5,0.5576090135757199,0.10816495507340164,0.2292262480585976
0.6,0.4,0.7309720257742215,0.3240121537517306,0.31170963344320785
0.7,0.3,0.8113502988421459,0.46312649315085735,0.430634135605663
0.8,0.2,0.8247604809679464,0.5015499430068474,0.5605053746946441
0.9,0.1,0.8295672066443789,0.5279867555012042,0.6942885653459216
1.0,0.0,0.8309921360297189,0.5571836572481116,0.8309921360297189
